Name,Status,Tenant,Site,Location,Rack,Rack Position,Role,Manufacturer,Type,IP Address,ID,Tenant Group,Serial number,Asset tag,Region,Site Group,Parent Device,Position (Device Bay),Position,Rack face,Latitude,Longitude,Airflow,IPv4 Address,IPv6 Address,OOB IP,Cluster,Virtual Chassis,VC Position,VC Priority,Description,Config Template,Comments,Contacts,Tags,Created,Last updated,Platform,Server Group,Backup,DTAP state,Harddisk,open actions,CPU,Memory,Monitor hardware,HW buy date,HW warranty expiration,Warranty type,Console ports,Console server ports,Power ports,Power outlets,Interfaces,Front ports,Rear ports,Device bays,Module bays,Inventory items
0311 PP,active,2,7,14,0311,,5,,,,1425,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-22T10:03:59.126798Z,2025-07-22T10:03:59Z,,,,,,,,,,,,,0,0,0,0,2,0,0,0,0,0
939VT2J,active,,13,,,,1,,,,249,,939VT2J,,,,,,,,,,,,,,,,,,,,"Oude vw1, nu testmachine

Niet meer productie waardig.",,,2025-07-22T09:45:29.933056Z,2025-08-27T07:08:38Z,,,,,,,,,,,,,0,0,0,0,3,0,0,0,0,0
acp147,active,2,13,,,,7,,,,1105,,ZA1844008754,,,,,,,,,,,,,,,,,,,,,,,2025-07-22T09:57:44.834519Z,2025-07-22T09:57:44Z,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
acp161,active,2,13,,,,7,,,,1232,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-22T10:00:12.851451Z,2025-07-22T10:00:12Z,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
acp203,active,2,13,,,,7,,,,1537,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-22T10:06:12.313397Z,2025-07-22T10:06:12Z,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
alm-duin-f0-ax01,active,2,13,,,,2,,,,1587,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-22T10:07:05.751487Z,2025-07-22T13:04:16Z,,,,,,,,,,,,,0,0,0,0,243,0,0,0,0,0
alm-duin-f0-ax01-00,active,3,14,24,MER-1,Rear 27.0,31,,,19593,2036,,1019B0090407,,,,,,27.0,Rear,,,Front to rear,19593,,,,alm-duin-f0-ax01,1,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:06:14.754848Z,2025-07-22T13:27:45Z,,,,,,,,,,,,,1,0,1,0,55,0,0,0,0,0
alm-duin-f0-ax01-01,active,3,14,24,MER-1,Rear 25.0,31,,,,2037,,DM19B0003713,,,,,,25.0,Rear,,,Front to rear,,,,,alm-duin-f0-ax01,2,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:06:25.384070Z,2025-07-22T13:25:01Z,,,,,,,,,,,,,1,0,1,0,53,0,0,0,0,0
alm-duin-f0-ax01-02,active,3,14,24,MER-1,Rear 23.0,31,,,,2038,,DM20B0012090,,,,,,23.0,Rear,,,Front to rear,,,,,alm-duin-f0-ax01,3,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:06:36.095445Z,2025-07-22T13:25:01Z,,,,,,,,,,,,,1,0,1,0,53,0,0,0,0,0
alm-duin-f0-ax01-03,active,3,14,24,MER-2,Rear 29.0,31,,,,2039,,DM19B0004283,,,,,,29.0,Rear,,,Front to rear,,,,,alm-duin-f0-ax01,4,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:06:45.879687Z,2025-07-22T13:25:02Z,,,,,,,,,,,,,1,0,1,0,53,0,0,0,0,0
alm-duin-f0-ax01-04,active,3,14,24,MER-2,Rear 27.0,31,,,,2040,,1019B0090404,,,,,,27.0,Rear,,,Front to rear,,,,,alm-duin-f0-ax01,5,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:06:56.197491Z,2025-07-22T13:25:02Z,,,,,,,,,,,,,1,0,1,0,53,0,0,0,0,0
alm-duin-f0-core-00,active,3,14,24,MER-2,Front 39.0,32,,,19592,2041,,21980106933GK7000065,,,,,,39.0,Front,,,,19592,,,,alm-duin-f0-core,1,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:07:07.216246Z,2025-07-22T13:27:46Z,,,,,,,,,,,,,2,0,1,0,39,0,0,0,0,0
alm-duin-f0-core-01,active,3,14,24,MER-1,Front 39.0,32,,,,2042,,21980106933GK7000049,,,,,,39.0,Front,,,,,,,,alm-duin-f0-core,2,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:07:15.410789Z,2025-07-22T13:25:03Z,,,,,,,,,,,,,2,0,0,0,32,0,0,0,0,0
alm-duin-f1-ax02-00,active,3,14,25,MER-1,Front 29.0,31,,,19594,2043,,DM19B0004302,,,,,,29.0,Front,,,Front to rear,19594,,,,alm-duin-f1-ax02,1,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:07:22.482398Z,2025-07-22T13:27:46Z,,,,,,,,,,,,,1,0,1,0,55,0,0,0,0,0
alm-duin-f1-ax02-01,active,3,14,25,MER-1,Front 27.0,31,,,,2044,,DM19B0003654,,,,,,27.0,Front,,,Front to rear,,,,,alm-duin-f1-ax02,2,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:07:33.792246Z,2025-07-22T13:25:04Z,,,,,,,,,,,,,1,0,1,0,53,0,0,0,0,0
alm-duin-f1-ax02-02,active,3,14,25,MER-1,Front 25.0,31,,,,2045,,1019B0090431,,,,,,25.0,Front,,,Front to rear,,,,,alm-duin-f1-ax02,3,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:07:43.907008Z,2025-07-22T13:25:04Z,,,,,,,,,,,,,1,0,1,0,53,0,0,0,0,0
alm-duin-f1-ax02-03,active,3,14,25,MER-2,Front 31.0,31,,,,2046,,DM19B0003530,,,,,,31.0,Front,,,Front to rear,,,,,alm-duin-f1-ax02,4,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:07:54.001897Z,2025-07-22T13:25:05Z,,,,,,,,,,,,,1,0,1,0,53,0,0,0,0,0
alm-duin-f1-ax02-04,active,3,14,25,MER-2,Front 29.0,31,,,,2047,,DM20B0012109,,,,,,29.0,Front,,,Front to rear,,,,,alm-duin-f1-ax02,5,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:08:04.422739Z,2025-07-22T13:25:05Z,,,,,,,,,,,,,1,0,1,0,53,0,0,0,0,0
alm-duin-f2-ax03-00,active,3,14,27,MER-1,Front 33.0,31,,,19595,2048,,DM19B0004306,,,,,,33.0,Front,,,Front to rear,19595,,,,alm-duin-f2-ax03,1,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:08:15.060329Z,2025-07-22T13:27:47Z,,,,,,,,,,,,,1,0,1,0,55,0,0,0,0,0
alm-duin-f2-ax03-01,active,3,14,27,MER-1,Front 31.0,31,,,,2049,,DM19B0004285,,,,,,31.0,Front,,,Front to rear,,,,,alm-duin-f2-ax03,2,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:08:26.504940Z,2025-07-22T13:25:06Z,,,,,,,,,,,,,1,0,1,0,53,0,0,0,0,0
alm-duin-f2-ax03-02,active,3,14,27,MER-1,Front 29.0,31,,,,2050,,DM19B0004300,,,,,,29.0,Front,,,Front to rear,,,,,alm-duin-f2-ax03,3,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:08:37.277957Z,2025-07-22T13:25:07Z,,,,,,,,,,,,,1,0,1,0,53,0,0,0,0,0
alm-duin-f2-ax03-03,active,3,14,27,MER-2,Front 39.0,31,,,,2051,,DM20B0012118,,,,,,39.0,Front,,,Front to rear,,,,,alm-duin-f2-ax03,4,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:08:47.612597Z,2025-07-22T13:25:07Z,,,,,,,,,,,,,1,0,1,0,53,0,0,0,0,0
alm-duin-f3-ax04-00,active,3,14,28,MER-1,Front 31.0,31,,,,2052,,DM19B0004303,,,,,,31.0,Front,,,Front to rear,,,,,alm-duin-f3-ax04,1,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:08:59.108232Z,2025-07-22T13:25:07Z,,,,,,,,,,,,,1,0,1,0,55,0,0,0,0,0
alm-duin-f3-ax04-01,active,3,14,28,MER-1,Front 29.0,31,,,,2053,,1019B0090432,,,,,,29.0,Front,,,Front to rear,,,,,alm-duin-f3-ax04,2,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:09:10.082150Z,2025-07-22T13:25:08Z,,,,,,,,,,,,,1,0,1,0,53,0,0,0,0,0
alm-duin-f3-ax04-02,active,3,14,28,MER-1,Front 27.0,31,,,,2054,,DM20B0012103,,,,,,27.0,Front,,,Front to rear,,,,,alm-duin-f3-ax04,3,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:09:21.360227Z,2025-07-22T13:25:08Z,,,,,,,,,,,,,1,0,1,0,53,0,0,0,0,0
alm-duin-f3-ax04-03,active,3,14,28,MER-2,Front 37.0,31,,,,2055,,DM19B0004265,,,,,,37.0,Front,,,Front to rear,,,,,alm-duin-f3-ax04,4,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:09:31.778110Z,2025-07-22T13:25:08Z,,,,,,,,,,,,,1,0,1,0,53,0,0,0,0,0
alm-duin-f3-ax04-04,active,3,14,28,MER-2,Front 35.0,31,,,,2056,,DM19B0004298,,,,,,35.0,Front,,,Front to rear,,,,,alm-duin-f3-ax04,5,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:09:41.998426Z,2025-07-22T13:25:09Z,,,,,,,,,,,,,1,0,1,0,53,0,0,0,0,0
alm-duin-f4-ax05-00,active,3,14,29,MER-1,Front 25.0,31,,,19597,2057,,DM20B0012098,,,,,,25.0,Front,,,Front to rear,19597,,,,alm-duin-f4-ax05,1,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:09:52.740970Z,2025-07-22T13:27:47Z,,,,,,,,,,,,,1,0,1,0,55,0,0,0,0,0
alm-duin-f4-ax05-01,active,3,14,29,MER-1,Front 23.0,31,,,,2058,,1019B0090363,,,,,,23.0,Front,,,Front to rear,,,,,alm-duin-f4-ax05,2,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:10:05.121362Z,2025-07-22T13:25:10Z,,,,,,,,,,,,,1,0,1,0,53,0,0,0,0,0
alm-duin-f4-ax05-02,active,3,14,29,MER-1,Front 21.0,31,,,,2059,,DM19B0004291,,,,,,21.0,Front,,,Front to rear,,,,,alm-duin-f4-ax05,3,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:10:15.852197Z,2025-07-22T13:25:10Z,,,,,,,,,,,,,1,0,1,0,53,0,0,0,0,0
alm-duin-f4-ax05-03,active,3,14,29,MER-1,Front 19.0,31,,,,2060,,DM19B0004275,,,,,,19.0,Front,,,Front to rear,,,,,alm-duin-f4-ax05,4,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:10:26.621065Z,2025-07-22T13:25:11Z,,,,,,,,,,,,,1,0,1,0,53,0,0,0,0,0
alm-duin-f4-ax05-04,active,3,14,29,MER-2,Front 33.0,31,,,,2061,,1019B0090435,,,,,,33.0,Front,,,Front to rear,,,,,alm-duin-f4-ax05,5,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:10:36.936985Z,2025-07-22T13:25:11Z,,,,,,,,,,,,,1,0,1,0,53,0,0,0,0,0
alm-duin-f4-ax05-05,active,3,14,29,MER-2,Front 31.0,31,,,,2062,,1019B0090405,,,,,,31.0,Front,,,Front to rear,,,,,alm-duin-f4-ax05,6,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:10:47.654188Z,2025-07-22T13:25:11Z,,,,,,,,,,,,,1,0,1,0,53,0,0,0,0,0
apc1,active,2,1,2,U27,Rear 14.0,7,,,82,201,,5A1231E01133,,,,,,14.0,Rear,,,,82,,,,,,,,,,,,2025-07-22T09:44:49.766242Z,2025-07-22T09:44:50Z,,,,,,,,,,,,,0,0,0,8,2,0,0,0,0,0
apc2,active,2,1,2,U27,Rear 13.0,7,,,83,202,,5A1231E01030,,,,,,13.0,Rear,,,,83,,,,,,,,,,,,2025-07-22T09:44:50.665963Z,2025-07-22T09:44:51Z,,,,,,,,,,,,,0,0,0,8,2,0,0,0,0,0
apc3,active,2,3,3,325,Rear 27.0,7,,,49,145,,ZA1343016975,,,,,,27.0,Rear,,,,49,,,,,,,,,,,,2025-07-22T09:44:04.170582Z,2025-07-22T09:44:04Z,,,,,,,,,,,,,1,0,0,8,2,0,0,0,0,0
apc4,active,2,3,3,325,Rear 18.0,7,,,51,147,,1A0337A00240,,,,,,18.0,Rear,,,,51,,,,,,,,,,,,2025-07-22T09:44:06.390565Z,2025-07-22T09:44:06Z,,,,,,,,,,,,,0,0,0,8,2,0,0,0,0,0
apc5,active,2,3,3,301,Rear 9.0,7,,,631,1033,,5A1744E01222,,,,,,9.0,Rear,,,,631,,,,,,,,,,,,2025-07-22T09:56:29.548930Z,2025-07-22T09:56:29Z,,,,,,,,,,,,,0,0,0,8,2,0,0,0,0,0
apc6,active,2,3,3,301,Rear 8.0,7,,,632,1034,,5A1744E01216,,,,,,8.0,Rear,,,,632,,,,,,,,,,,,2025-07-22T09:56:30.827232Z,2025-07-22T09:56:31Z,,,,,,,,,,,,,0,0,0,8,2,0,0,0,0,0
apc7,active,2,7,11,0605,Front 15.0,7,,,44,111,,5A1349E06357,,,,,,15.0,Front,,,,44,,,,,,,,,,,,2025-07-22T09:43:48.618743Z,2025-07-22T09:43:48Z,,,,,,,,,,,,,0,0,1,8,2,0,0,0,0,0
apc8,active,2,13,,,,7,,,,186,,JA0416050284,,,,,,,,,,,,,,,,,,,,,,,2025-07-22T09:44:38.605522Z,2025-07-22T09:44:38Z,,,,,,,,,,,,,0,0,0,16,1,0,0,0,0,0
apc9,active,2,1,2,U27,Rear 4.0,7,,,84,203,,5A1231E00175,,,,,,4.0,Rear,,,,84,,,,,,,,,,,,2025-07-22T09:44:51.977149Z,2025-07-22T09:44:52Z,,,,,,,,,,,,,0,0,0,8,2,0,0,0,0,0
apc10,active,2,1,2,U27,Rear 3.0,7,,,85,204,,5A1231E01138,,,,,,3.0,Rear,,,,85,,,,,,,,,,,,2025-07-22T09:44:52.877087Z,2025-07-22T09:44:53Z,,,,,,,,,,,,,0,0,0,8,2,0,0,0,0,0
apc11,active,6,2,4,LI-14,Rear 13.0,7,,,21241,206,,5A1111E02462,,,,,,13.0,Rear,,,,21241,,,,,,,,,,,,2025-07-22T09:44:54.676295Z,2025-08-14T09:43:58Z,,,,,,,,,,,,,0,0,1,8,1,0,0,0,0,0
apc12,active,2,1,2,O27,Rear 38.0,7,,,34,67,,ZA1531012126,,,,,,38.0,Rear,,,,34,,,,,,,,,,,,2025-07-22T09:43:21.675599Z,2025-07-22T09:43:22Z,,,,,,,,,,,,,0,0,0,8,2,0,0,0,0,0
apc13,active,6,2,4,LI-14,Rear 14.0,7,,,21240,205,,5A1231E01128,,,,,,14.0,Rear,,,,21240,,,,,,,,,,,,2025-07-22T09:44:53.772630Z,2025-08-14T09:43:58Z,,,,,,,,,,,,,0,0,1,8,1,0,0,0,0,0
apc14,active,2,1,2,O27,Rear 37.0,7,,,249,446,,ZA1531012086,,,,,,37.0,Rear,,,,249,,,,,,,,,,,,2025-07-22T09:48:13.823322Z,2025-07-22T09:48:14Z,,,,,,,,,,,,,0,0,0,8,2,0,0,0,0,0
apc15,active,2,2,4,LI-13,,7,,,90,213,,5A1244E01886,,,,,,,,,,,90,,,,,,,,,,,,2025-07-22T09:45:00.401378Z,2025-07-22T09:45:00Z,,,,,,,,,,,,,0,0,0,24,2,0,0,0,0,0
apc16,active,2,1,2,O27,Rear 29.0,7,,,35,68,,ZA1531012082,,,,,,29.0,Rear,,,,35,,,,,,,,,,,,2025-07-22T09:43:22.591100Z,2025-08-06T08:52:58Z,,,,,,,,,,,,,0,0,0,8,2,0,0,0,0,0
apc17,active,2,1,2,O27,Rear 28.0,7,,,250,447,,ZA1531016474,,,,,,28.0,Rear,,,,250,,,,,,,,,,,,2025-07-22T09:48:14.735113Z,2025-08-06T08:53:15Z,,,,,,,,,,,,,0,0,0,8,2,0,0,0,0,0
apc18,active,2,3,3,303,Rear 32.0,7,,,633,1035,,5A1717E08848,,,,,,32.0,Rear,,,,633,,,,,,,,,,,,2025-07-22T09:56:31.747557Z,2025-07-22T09:56:32Z,,,,,,,,,,,,,0,0,1,8,2,0,0,0,0,0
apc19,active,2,2,4,LI-13,Rear 36.0,7,,,,212,,5A1231E01122,,,,,,36.0,Rear,,,,,,,,,,,,,,,,2025-07-22T09:44:59.815767Z,2025-07-22T09:44:59Z,,,,,,,,,,,,,0,0,1,8,1,0,0,0,0,0
apc20,active,2,3,3,304,Rear 6.0,7,,,46,134,,ZA0731011095,,,,,,6.0,Rear,,,,46,,,,,,,,,,,,2025-07-22T09:43:57.808527Z,2025-07-22T09:43:58Z,,,,,,,,,,,,,0,0,0,8,2,0,0,0,0,0
apc21,active,2,3,3,304,Rear 7.0,7,,,47,135,,ZA0731010946,,,,,,7.0,Rear,,,,47,,,,,,,,,,,,2025-07-22T09:43:58.703646Z,2025-07-22T09:43:59Z,,,,,,,,,,,,,0,0,0,8,2,0,0,0,0,0
apc22,active,2,13,,,,7,,,45,112,,ZA0618005110,,,,,,,,,,,45,,,,,,,,,,,,2025-07-22T09:43:49.346839Z,2025-07-22T09:43:49Z,,,,,,,,,,,,,0,0,0,8,2,0,0,0,0,0
apc23,active,2,2,4,LI-05,Rear 30.0,7,,,23,29,,ZA0919005075,,,,,,30.0,Rear,,,,23,,,,,,,,,,,,2025-07-22T09:42:57.394868Z,2025-07-22T09:42:57Z,,,,,,,,,,,,,0,0,1,16,2,0,0,0,0,0
apc24,active,2,2,4,LI-05,Rear 27.0,7,,,22,28,,ZA0919005078,,,,,,27.0,Rear,,,,22,,,,,,,,,,,,2025-07-22T09:42:56.036550Z,2025-07-22T09:42:56Z,,,,,,,,,,,,,0,0,0,16,2,0,0,0,0,0
apc25,active,2,2,4,LI-09,,7,,,80,199,,ZA0930006611,,,,,,,,,,,80,,,,,,,,,,,,2025-07-22T09:44:47.888246Z,2025-07-22T09:44:48Z,,,,,,,,,,,,,0,0,0,24,2,0,0,0,0,0
apc26,active,2,2,4,LI-09,,7,,,81,200,,5A0952E00794,,,,,,,,,,,81,,,,,,,,,,,,2025-07-22T09:44:48.844034Z,2025-07-22T09:44:49Z,,,,,,,,,,,,,0,0,0,24,2,0,0,0,0,0
apc27,active,2,2,4,LI-13,Rear 7.0,7,,,,214,,5A1231E01063,,,,,,7.0,Rear,,,,,,,,,,,,,,,,2025-07-22T09:45:01.648113Z,2025-07-22T09:45:01Z,,,,,,,,,,,,,0,0,1,8,1,0,0,0,0,0
apc28,active,2,1,2,X27,Rear 12.0,7,,,48,138,,ZA1648006131,,,,,,12.0,Rear,,,,48,,,,,,,,,,,,2025-07-22T09:44:00.552525Z,2025-07-22T09:44:00Z,,,,,,,,,,,,,0,0,0,8,2,0,0,0,0,0
apc29,active,2,3,3,325,Rear 10.0,7,,,52,148,,5A1032E01827,,,,,,10.0,Rear,,,,52,,,,,,,,,,,,2025-07-22T09:44:07.289637Z,2025-07-22T09:44:07Z,,,,,,,,,,,,,0,0,0,8,2,0,0,0,0,0
apc30,active,2,13,,,,7,,,28,57,,ZA1903002335,,,,,,,,,,,28,,,,,,,,,Retired. See https://servicedesk.enreach.com/browse/ESD-9398,,,2025-07-22T09:43:13.714150Z,2025-08-27T07:08:27Z,,,,,,,,,,,,,0,0,0,24,2,0,0,0,0,0
apc31,active,2,1,2,U27,Rear 37.0,7,,,30,59,,ZA1044013582,,,,,,37.0,Rear,,,,30,,,,,,,,,,,,2025-07-22T09:43:15.546476Z,2025-07-22T09:43:15Z,,,,,,,,,,,,,0,0,0,8,2,0,0,0,0,0
apc32,active,2,1,2,U27,Rear 36.0,7,,,31,60,,ZA1044013586,,,,,,36.0,Rear,,,,31,,,,,,,,,,,,2025-07-22T09:43:16.467268Z,2025-07-22T09:43:16Z,,,,,,,,,,,,,0,0,0,8,2,0,0,0,0,0
apc33,active,2,1,2,U27,Rear 27.0,7,,,32,61,,5A1032E01803,,,,,,27.0,Rear,,,,32,,,,,,,,,,,,2025-07-22T09:43:17.340608Z,2025-07-22T09:43:18Z,,,,,,,,,,,,,0,0,0,8,2,0,0,0,0,0
apc34,active,2,1,2,U27,Rear 26.0,7,,,33,62,,ZA1044013590,,,,,,26.0,Rear,,,,33,,,,,,,,,,,,2025-07-22T09:43:18.591474Z,2025-07-22T09:43:18Z,,,,,,,,,,,,,0,0,0,8,2,0,0,0,0,0
apc35,active,2,3,3,303,Rear 31.0,7,,,634,1036,,5A1808E06286,,,,,,31.0,Rear,,,,634,,,,,,,,,,,,2025-07-22T09:56:32.654987Z,2025-07-22T09:56:33Z,,,,,,,,,,,,,0,0,1,8,2,0,0,0,0,0
apc36,active,2,3,3,314,Rear 28.0,7,,,54,150,,5A1111E02466,,,,,,28.0,Rear,,,,54,,,,,,,,,,,,2025-07-22T09:44:09.042729Z,2025-07-22T09:44:09Z,,,,,,,,,,,,,0,0,0,8,2,0,0,0,0,0
apc37,active,2,3,3,314,Rear 27.0,7,,,55,151,,5A1111E02504,,,,,,27.0,Rear,,,,55,,,,,,,,,,,,2025-07-22T09:44:10.294445Z,2025-07-22T09:44:10Z,,,,,,,,,,,,,0,0,0,8,2,0,0,0,0,0
apc38,active,6,2,4,LI-14,,7,,,21242,58,,5A1128E06282,,,,,,,,,,,21242,,,,,,,,,,,,2025-07-22T09:43:14.636665Z,2025-08-14T09:43:58Z,,,,,,,,,,,,,0,0,0,24,1,0,0,0,0,0
apc39,active,6,2,4,LI-14,Rear 24.0,7,,,21238,54,,5A1111E02475,,,,,,24.0,Rear,,,,21238,,,,,,,,,,,,2025-07-22T09:43:10.415409Z,2025-08-14T09:43:59Z,,,,,,,,,,,,,0,0,1,8,1,0,0,0,0,0
apc40,active,6,2,4,LI-14,Rear 23.0,7,,,21239,55,,5A1111E02880,,,,,,23.0,Rear,,,,21239,,,,,,,,,,,,2025-07-22T09:43:11.294344Z,2025-08-14T09:43:59Z,,,,,,,,,,,,,0,0,1,8,1,0,0,0,0,0
apc41,active,2,3,3,325,Rear 19.0,7,,,50,146,,5A1111E02874,,,,,,19.0,Rear,,,,50,,,,,,,,,,,,2025-07-22T09:44:05.475107Z,2025-07-22T09:44:05Z,,,,,,,,,,,,,0,0,0,8,2,0,0,0,0,0
apc42,active,2,4,1,11,,7,,,78,197,,ZA1139004167,,,,,,,,,,,78,,,,,,,,,,,,2025-07-22T09:44:45.675415Z,2025-07-22T09:44:46Z,,,,,,,,,,,,,0,0,0,24,2,0,0,0,0,0
apc43,active,2,4,1,11,,7,,,79,198,,ZA1130039214,,,,,,,,,,,79,,,,,,,,,,,,2025-07-22T09:44:46.931845Z,2025-07-22T09:44:47Z,,,,,,,,,,,,,0,0,0,24,2,0,0,0,0,0
apc44,active,2,1,2,R27,Rear 22.0,7,,,42,83,,5A1111E02882,,,,,,22.0,Rear,,,,42,,,,,,,,,,,,2025-07-22T09:43:33.042424Z,2025-07-22T09:43:33Z,,,,,,,,,,,,,0,0,0,8,2,0,0,0,0,0
apc45,active,2,1,2,R27,Rear 21.0,7,,,43,84,,5A1111E02442,,,,,,21.0,Rear,,,,43,,,,,,,,,,,,2025-07-22T09:43:33.940719Z,2025-07-22T09:43:34Z,,,,,,,,,,,,,0,0,0,8,2,0,0,0,0,0
apc46,active,2,3,3,325,Rear 1.0,7,,,53,149,,ZA1220000161,,,,,,1.0,Rear,,,,53,,,,,,,,,,,,2025-07-22T09:44:08.171776Z,2025-07-22T09:44:08Z,,,,,,,,,,,,,0,0,0,8,2,0,0,0,0,0
apc47,active,2,2,4,LI-13,Rear 35.0,7,,,,216,,ZA1044013585,,,,,,35.0,Rear,,,,,,,,,,,,,,,,2025-07-22T09:45:02.845037Z,2025-07-22T09:45:02Z,,,,,,,,,,,,,0,0,1,8,1,0,0,0,0,0
apc48,active,2,2,4,LI-13,Rear 6.0,7,,,,215,,5A1231E00579,,,,,,6.0,Rear,,,,,,,,,,,,,,,,2025-07-22T09:45:02.258105Z,2025-07-22T09:45:02Z,,,,,,,,,,,,,0,0,1,8,1,0,0,0,0,0
apc49,active,2,2,4,LI-13,,7,,,91,217,,5A1240E01392,,,,,,,,,,,91,,,,,,,,,,,,2025-07-22T09:45:03.435653Z,2025-07-22T09:45:03Z,,,,,,,,,,,,,0,0,0,24,2,0,0,0,0,0
apc50,active,2,1,5,W30,Rear 3.0,7,,,98,222,,5A1231E00069,,,,,,3.0,Rear,,,,98,,,,,,,,,,,,2025-07-22T09:45:09.390875Z,2025-07-22T09:45:09Z,,,,,,,,,,,,,0,0,0,8,2,0,0,0,0,0
